,timestamp,open,close,high,low,volume,amount
2017-10-19,1508371200,298.0,294.99420415,298.00000008,288.1288478,35.36767349,10492.46446825
2017-10-20,1508457600,294.99420415,274.67321485,339.380456,267.5,48.66985562000001,13984.58134655
2017-10-21,1508544000,267.5,304.34705243,304.34705255,267.5,32.98250073,9505.01028858
2017-10-22,1508630400,295.04002505,312.5724,313.0,295.04002505,27.66451517,8251.748107430001
2017-10-23,1508716800,312.57239999,298.73996899,312.5724,261.78809424,57.87937144,17149.4223411
2017-10-24,1508803200,298.73996899,311.91299998,312.99999999,263.53523994,60.89218207000001,18458.47821913
2017-10-25,1508889600,286.99000001,296.99999999,307.99999999,275.48148845,88.6191617,26206.298888700003
2017-10-26,1508976000,296.99999999,292.94844999,309.99999999,278.10000001,93.59392568999999,27936.93172532
2017-10-27,1509062400,292.94844999,278.1,301.94845999,278.1,100.02136908,29557.232169709998
2017-10-28,1509148800,300.944,294.0,312.0,278.100002,106.47410500000001,31274.932219620005
2017-10-29,1509235200,294.0,311.998995,311.998997,286.100011,130.72556857,39860.308320439995
2017-10-30,1509321600,307.999999,320.756839,333.59421987,296.000001,227.26432097000003,71626.53340289
2017-10-31,1509408000,320.756839,303.0,320.756839,300.020001,201.122185,63014.435503810004
2017-11-01,1509494400,304.0,301.0,316.888998,281.59256241,223.73031191,67361.36550564
2017-11-02,1509580800,290.000001,294.987899,300.999999,270.100001,284.04704577999996,81253.16487258999
2017-11-03,1509667200,294.987899,287.50791816,301.0,278.000001,130.53351704,37815.22009479
2017-11-04,1509753600,301.0,298.0,318.666888,286.010001,104.76798855999999,31716.758678629998
2017-11-05,1509840000,298.0,296.0,315.0,286.010003,96.13920991,28723.46152612
2017-11-06,1509926400,298.0,293.25,309.999888,287.0,23.165311220000003,6759.17275118
2017-11-07,1510012800,293.2102,287.0,309.0,287.0,28.26631327,8333.36851575
2017-11-08,1510099200,304.5467,300.0,310.0,290.300001,53.64773804,16135.82706477
2017-11-09,1510185600,299.0,315.1,335.0,299.0,51.00299612999999,16353.633844890002
2017-11-10,1510272000,335.0,288.0285487,335.0,283.010001,224.1968913,68339.76065540001
2017-11-11,1510358400,288.0285487,309.000001,316.999888,288.0285487,314.99929961,93206.79158456999
2017-11-12,1510444800,309.000001,305.000002,333.0,293.900001,102.70264742999998,30920.048766890002
2017-11-13,1510531200,324.999888,306.211003,326.999999,306.0,164.28509037,51092.83890021
2017-11-14,1510617600,310.0,330.0,348.999999,306.211003,106.32735776,33886.32851641
2017-11-15,1510704000,326.000003,324.000203,348.8,316.550002,524.5772420000001,170263.64589289
2017-11-16,1510790400,324.000203,337.999999,348.499983,316.560001,720.675632,232702.90936733998
2017-11-17,1510876800,332.999999,329.010001,340.0,323.200008,761.102273,250808.68590651
2017-11-18,1510963200,329.010001,336.000006,340.0,326.500001,465.586091,152986.04573172
2017-11-19,1511049600,336.000008,347.000002,364.999999,329.000002,318.492323,109499.54033086999
2017-11-20,1511136000,347.000002,389.8,389.8,347.000001,130.37057013999998,46285.84139670999
2017-11-21,1511222400,365.0,359.000001,400.0,353.11485,291.369976,108573.36509738001
2017-11-22,1511308800,356.000001,378.5,384.0,356.000001,309.251875,115221.43295679
2017-11-23,1511395200,378.5,411.0,639.999999,375.000001,218.022853,85142.80782406998
2017-11-24,1511481600,411.0,459.0,500.0,409.5,323.804543,139422.0120356
2017-11-25,1511568000,459.0,467.262506,499.5,459.0,408.636499,192861.8747996
2017-11-26,1511654400,467.262506,461.500053,495.000008,448.000101,552.588516,257821.36659933004
2017-11-27,1511740800,461.500053,479.499998,495.000009,461.500053,472.925882,223970.33098578
2017-11-28,1511827200,479.499998,472.625503,499.0,465.000004,419.22894299999996,201086.4050723
2017-11-29,1511913600,472.625503,420.100001,549.0,410.5,386.215353,186615.46939095
2017-11-30,1512000000,417.100001,442.500001,510.15015,380.0,363.053178,160788.30019466998
2017-12-01,1512086400,442.5,471.0,492.5,420.000001,371.15341,164894.39090907
2017-12-02,1512172800,471.0,463.745002,482.999999,431.1,288.309761,133464.38486261
2017-12-03,1512259200,463.745003,455.842,654.5,442.720002,225.817653,108076.08733272
2017-12-04,1512345600,455.842,450.949999,494.35,424.0,96.52190000000002,44751.57631196
2017-12-05,1512432000,450.95,460.272272,476.899999,438.900005,244.768203,112565.87259965
2017-12-06,1512518400,460.272272,411.33333,469.5,408.25,160.17431599999998,71470.87035043
2017-12-07,1512604800,411.33333,430.499998,447.099999,400.0,228.92220300000002,96032.50995706
2017-12-08,1512691200,430.499998,432.500001,447.0,402.0,253.83232500000003,108403.78024990001
2017-12-09,1512777600,432.750001,468.999999,493.29,418.600001,51.511939999999996,23246.13507519
2017-12-10,1512864000,469.0,418.000001,503.659459,417.000007,13.470903,6247.154816689999
2017-12-11,1512950400,418.500001,456.100026,500.0,418.500001,60.165075,28318.21322704
2017-12-12,1513036800,456.200001,605.0,619.0,456.200001,101.59510700000001,53992.1241584
2017-12-13,1513123200,605.0,648.300506,707.0,518.0,30.262076,18313.64218293
2017-12-14,1513209600,648.300506,675.40825,722.349502,601.601012,98.820752,67358.36885062
2017-12-15,1513296000,675.40825,677.999995,704.99999,518.0,29.799905000000003,19807.85473275
2017-12-16,1513382400,682.499995,664.499962,704.99999,631.0,63.053082,42751.19927077
2017-12-17,1513468800,664.49996,697.999996,770.0,650.0,97.57247000000001,67876.6897746
2017-12-18,1513555200,697.499999,752.500005,789.0,648.5,98.922437,71152.43012281001
2017-12-19,1513641600,754.0,780.0,871.999993,696.660017,52.483720000000005,42361.773565740004
2017-12-20,1513728000,740.0,803.999999,817.99999,667.000001,51.098582,39434.85887872
2017-12-21,1513814400,808.999999,760.0,851.999963,719.065684,96.192464,74835.48730368
2017-12-22,1513900800,769.99997,610.000108,800.0,525.525012,114.993311,75178.70438997
2017-12-23,1513987200,680.0,744.999981,754.999999,646.0,46.573465,32693.522888559997
2017-12-24,1514073600,682.0,587.000027,744.999957,548.692279,50.329443000000005,31755.256914000005
2017-12-25,1514160000,665.99999,670.000031,729.259975,587.000021,84.127331,58432.609382680006
2017-12-26,1514246400,720.999995,720.000015,745.0,670.000034,68.96316200000001,50334.063198389995
2017-12-27,1514332800,720.000016,771.999993,780.0,670.000036,80.746591,60174.83329157
2017-12-28,1514419200,770.999993,692.93588,770.999993,588.549193,352.44735899999995,242391.34651206
2017-12-29,1514505600,706.999995,724.0,764.0,679.581122,200.397161,145900.41971053998
2017-12-30,1514592000,720.0,744.989999,758.9998,632.525472,443.640148,303951.29165817995
2017-12-31,1514678400,721.999999,721.000003,745.0,665.000005,128.19754999999998,93237.44153862
2018-01-01,1514764800,733.999996,762.000005,799.999996,682.000003,162.632923,122041.36424478001
2018-01-02,1514851200,762.000005,801.1,900.805536,762.000005,468.484334,394196.13883156003
2018-01-03,1514937600,839.999996,956.0,996.999999,810.000005,437.818886,382626.64827303996
2018-01-04,1515024000,947.000011,947.00001,1000.0,900.900901,555.259412,529658.89988174
2018-01-05,1515110400,935.956126,963.030989,1000.0,910.000001,449.693348,439390.2985327799
2018-01-06,1515196800,964.034988,1000.0,1000.0,930.500011,428.19583800000004,423646.99495665997
2018-01-07,1515283200,999.228195,1115.387014,1149.0,986.0,273.873712,291651.32500652
2018-01-08,1515369600,1117.30974,1165.832998,1230.0,910.0,1876.612952,2028804.18865526
2018-01-09,1515456000,1135.0,1285.0,1298.580156,1123.5612,1153.448639,1393529.77575223
2018-01-10,1515542400,1283.937982,1234.000001,1392.44,1200.0,1434.874881,1860043.9639693398
2018-01-11,1515628800,1263.999998,1136.000001,1329.799981,860.0,2771.3124669999997,3098650.7227986297
2018-01-12,1515715200,1156.0,1249.77,1300.0,1080.000008,939.169545,1146488.84910855
2018-01-13,1515801600,1249.77,1401.0,1430.0,1242.137882,777.1017609999999,1045180.54699773
2018-01-14,1515888000,1386.99,1338.658141,1386.990001,1150.0,1322.108533,1697857.0815169902
2018-01-15,1515974400,1318.000001,1258.0,1357.3,1257.000001,1016.231216,1335193.38141092
2018-01-16,1516060800,1260.000004,1032.0,1281.562988,821.0,6015.461022,6203655.073442089
2018-01-17,1516147200,1032.000001,980.000005,1072.999995,712.0,6460.530596,5692728.888899
2018-01-18,1516233600,989.989956,992.0,1090.0,911.0,2855.959806,2876259.07245687
2018-01-19,1516320000,992.0,1036.0,1079.666699,941.492497,1467.135253,1491081.77230263
2018-01-20,1516406400,1036.0,1156.000002,1200.0,1034.5,1081.35701,1228264.1676183902
2018-01-21,1516492800,1156.000002,1042.778381,1156.00002,987.00001,1804.362228,1895412.88165672
2018-01-22,1516579200,1043.838704,999.999999,1099.999998,915.0,2028.960228,2025659.8575854301
2018-01-23,1516665600,989.0,980.0,1028.999999,911.0,1219.424559,1193046.9443428603
2018-01-24,1516752000,980.0,1062.000669,1075.0,950.0,914.738842,931232.0384877
2018-01-25,1516838400,1072.999979,1050.000001,1119.999999,1030.010204,1386.6491700000001,1481349.68198302
2018-01-26,1516924800,1054.0,1050.0,1088.399983,971.000001,1962.569395,2018016.6897109197
2018-01-27,1517011200,1050.0,1123.999995,1150.999914,1033.000002,1493.21468,1629642.2824072498
2018-01-28,1517097600,1135.0,1254.99,1283.0,1115.0,2146.181834,2608918.52960937
2018-01-29,1517184000,1254.99,1189.000006,1269.679995,1160.0,1586.235485,1907123.54482087
2018-01-30,1517270400,1189.0,1085.990008,1190.000009,1030.000102,2095.122632,2339757.2117833197
2018-01-31,1517356800,1084.90402,1120.00002,1141.691151,1030.0,1329.7398680000001,1455659.09823021
2018-02-01,1517443200,1120.00002,1045.0,1169.999912,989.0,1901.271203,2060558.45794033
2018-02-02,1517529600,1045.0,922.92,1045.000004,763.675635,3565.160514,3277883.0065857098
2018-02-03,1517616000,922.92,965.0,999.99,854.999996,1714.159137,1632298.9589984398
2018-02-04,1517702400,973.999899,825.000132,978.499797,785.0,1558.895436,1357939.77862219
2018-02-05,1517788800,825.000132,699.0,857.364648,630.0,4708.870527000001,3444931.19857619
2018-02-06,1517875200,697.3485,785.0031,800.999123,568.945411,5800.497446,3938907.7671416104
2018-02-07,1517961600,785.003003,742.529342,857.030845,707.0,3474.7724959999996,2747312.92856146
2018-02-08,1518048000,751.079857,825.0,848.000001,749.844837,2007.8393920000003,1626356.04425602
2018-02-09,1518134400,810.002892,879.2394,887.072039,773.51,2208.507416,1837446.42568104
2018-02-10,1518220800,874.662726,845.000173,924.999307,800.129687,2376.853219,2040448.5385973998
2018-02-11,1518307200,845.001682,807.000458,854.999515,773.419667,1822.9110099999998,1474130.54730041
2018-02-12,1518393600,810.0,865.763721,880.0,809.001811,1266.709293,1084361.18011751
2018-02-13,1518480000,865.763721,843.0,875.0,820.0,873.830662,737212.1550313199
2018-02-14,1518566400,845.0,920.829283,922.9,839.420083,1499.39885,1334526.1687729
2018-02-15,1518652800,920.829282,925.0,955.051137,899.0,1619.5410259999999,1496875.55563949
2018-02-16,1518739200,925.0,945.0,951.161259,903.397734,692.790693,643122.00988865
2018-02-17,1518825600,941.0,972.0,980.49,931.863251,809.495233,779862.5847013299
2018-02-18,1518912000,972.0,916.238469,982.9,892.137139,1430.5025979999998,1330116.6541849498
2018-02-19,1518998400,912.923652,940.000001,969.0,905.000001,722.685895,679151.89616175
2018-02-20,1519084800,940.000001,876.211105,962.999999,873.0,1060.253658,981870.1441036001
2018-02-21,1519171200,877.0,835.1979,913.203215,797.113303,2070.8385000000003,1760872.38302649
2018-02-22,1519257600,835.1979,800.0,875.0,780.000001,1337.552603,1091352.4131971202
2018-02-23,1519344000,800.0,849.618787,888.0,780.0,1199.552192,1010653.70537336
2018-02-24,1519430400,849.618787,832.42653,887.0,803.241491,990.773688,827107.11733807
2018-02-25,1519516800,832.42653,836.736652,850.0,812.0,520.356935,433946.26046986
2018-02-26,1519603200,844.197925,864.237811,883.0,830.001,615.560676,528438.6627487501
2018-02-27,1519689600,870.069466,875.448703,900.0,855.0,696.5771609999999,614627.60656164
2018-02-28,1519776000,871.000797,851.1,891.397079,850.0,553.200951,481225.71319644
2018-03-01,1519862400,851.001,875.760273,884.8,850.0,678.557918,588715.15871902
2018-03-02,1519948800,875.761607,856.838957,881.383636,851.0,371.959844,321929.66225318
2018-03-03,1520035200,856.838957,854.019479,871.999593,850.000101,378.452763,326450.16842763004
2018-03-04,1520121600,854.019338,867.99727,867.99727,835.0,340.878671,291321.10420073
2018-03-05,1520208000,865.002095,854.710708,875.446281,848.66344,410.32287799999995,354832.25213615
2018-03-06,1520294400,850.197,806.742364,854.977212,800.0,735.888827,606314.6649803501
2018-03-07,1520380800,812.131831,745.0,827.327515,710.0,1552.784643,1174102.3806902599
2018-03-08,1520467200,745.0,699.624896,775.0,665.462336,1096.627105,795391.40406047
2018-03-09,1520553600,697.382074,724.544307,729.999554,626.659976,1734.142323,1168334.93080901
